;0;1
46;реорганизация;['клиента', 'время', 'пока', 'переговоры', 'процессе', 'компании', 'смена', 'идет', 'кредитование', 'встречи', 'стадии', 'присоединения', 'счет', 'поэтому', 'деятельность', 'продукты', 'реорганизации', 'форме', 'вопрос', 'занимается', 'данный', 'директора', 'находится', 'момент', 'выручка']
47;приглашение в банк;['не_подходят', 'кредитованию', 'нерезиденты', 'пользуются', 'заключения', 'предложения', 'продуктами', 'клиент', 'приглашен', 'валютными', 'офис', 'обсуждения', 'переговоры', 'обсудить', 'консультацию', 'лизинг', 'заинтересовал', 'банк']
48;погашен;['неподошли', 'предоставляют', 'оборудования', 'неработает', 'новичиха', 'погашения', 'отчётный', 'неозвузивают', 'устраивает', 'поставщики', 'отсрочка', 'отказ', 'поручителем', 'нет_потребности', 'параметрам', 'открыт', 'попадал', 'последний', 'недвижимости', 'подпишет', 'планируется', 'клиент', 'получили', 'нулевой', 'товар', 'агропрод', 'кредит', 'условия']
49;дубль;['выборки', 'клиента', 'счету', 'закреплен', 'переговоры', 'запланирована', 'сдают', 'активность', 'ключевым', 'ошибка', 'директор', 'кредитование', 'выставлена', 'некорректная', 'задача', 'создана', 'карточки', 'организации', 'не_интересует', 'компаний', 'экспресс', 'не_рассчитывается', 'архив', 'момент', 'лимит']
50;счет есть;['клиента', 'средств', 'рамках', 'готовы', 'проведены', 'огрн', 'пользуется', 'счет', 'движения', 'продуктах', 'деятельность', 'открыт', 'данные', 'закрывать', 'работает', 'планирует', 'банка', 'бизнес', 'переговоры', 'нет_потребности', 'выручка']
51;черная зона;['не_можем', 'отказ', 'сейчас', 'николай', 'обратился', 'красная', 'ответил', 'подавал', 'кредитование', 'оформил', 'ранее', 'нужен', 'заявку', 'не_возможно', 'анализе', 'обращался', 'клиент', 'не_интересует', 'обороты', 'отчетности', 'нет_второго', 'первоначальный', 'организацию', 'зона', 'очень', 'недели']
52;возраст;['не_можем', 'после', 'возрасту', 'оформлены', 'переговоры', 'офис', 'отсальные', 'отпуске', 'проведена', 'открыты', 'не_подходит', 'старше', 'банк', 'овер', 'предложена', 'предоставление', 'услуг', 'клиент', 'участие', 'радио', 'бизнес', 'оврдрафт', 'основном', 'поменяют', 'организации', 'выручка', 'площадку']
53;рассчитан овердрафт;['деятельности', 'сумма', 'клиенту', 'рассчитан', 'встреча', 'назначена', 'зарплатник', 'пользуется', 'корпоративная', 'лизинг', 'не_интересен', 'больше', 'карта', 'эквайринг', 'расчетным', 'экспресс', 'овердрафта', 'лимит', 'продукты', 'выручка']
54;планируют закрывать счет;['туда', 'предварительно', 'предложение', 'переговоры', 'перевезти', 'счет', 'встреча', 'офис', 'отделение', 'порядка', 'подписывают', 'желанию', 'продукты', 'перешла', 'подойдет', 'закрывать', 'организация', 'планирует', 'причине_маленьких', 'клиент', 'часов', 'отказали', 'консультацию', 'приедет', 'банка']
55;банкротство;['услугах', 'отказ', 'после', 'переговоры', 'оборотом', 'компании', 'соответственно', 'оплачивает', 'поданы', 'отдана', 'нет_продуктов', 'уралвагонзавод', 'получен', 'план', 'очень', 'нет_потребности', 'клиент', 'овердрафт', 'банкротства', 'не_работает', 'основной', 'учредитель', 'не_рассчитывается', 'стадии', 'находится', 'смарткредит']
56;фл;['каком', 'деятельности', 'вообще', 'средств', 'работать', 'отказ', 'айнудинов', 'мясумович', 'продукты', 'банком', 'не_хочет', 'пользуется', 'кредитование', 'др_услугам', 'не_интересен', 'привлечения', 'физическое', 'лицо', 'неоднократно', 'виду', 'сотрудничества', 'подавал', 'овердрафт', 'заявление', 'константин', 'депозиты', 'грузоперевозки']
57;условия;['проведена', 'проводились', 'кредитования', 'более', 'программу', 'встречи', 'не_превышает', 'лизинг', 'не_интересует', 'нерезидент', 'не_подходит', 'банка', 'карта', 'не_проходит', 'проверка', 'клиент', 'овердрафт', 'доля', 'услуг', 'продукта', 'данный', 'соответствия', 'оборотов', 'экспресс', 'условиям', 'момент']
58;не рассчитывается;['проведена', 'отказ', 'время', 'платит', 'человек', 'встреча', 'петербурге', 'представителем', 'пользуется', 'кредитование', 'экспресс', 'лизинг', 'планируют', 'нет_потребности', 'овердрафт', 'площадках', 'рассчитался', 'момент', 'продуктам', 'клиент', 'не_интересует', 'данный', 'учредитель', 'компании', 'страхование', 'череповце', 'организации', 'лимит', 'параллельно']
59;досрочное гашение;['не_продлевать', 'клиента', 'не_нужен', 'страхование', 'оборот', 'полис', 'овера', 'досрочно', 'взносы', 'не_интересует', 'погашен', 'платить', 'тяжело', 'отказ', 'лизинг', 'очень', 'кредит', 'закрыли', 'нет_потребности']
60;казн. + бюджет;['озвучено', 'invoicing', 'предложение', 'подсаживание', 'обеспечение', 'переговоры', 'аукционах', 'клиента', 'порядка', 'перед', 'принимает', 'участие', 'плотно', 'обеспечивают', 'обсуждали', 'работает', 'переходить', 'организация', 'озеленение', 'задолженность', 'предоставление', 'пензе', 'овердрафт', 'оформляют', 'основной', 'обслуж', 'счет', 'бюджетом']
61;кэптивный банк;['отказ', 'основные', 'предложенные', 'деятельности', 'компании', 'продукты', 'кузнецов', 'эквайринг', 'пользуется', 'детяельность', 'слов', 'лизинг', 'коммен', 'размещают', 'факторинг', 'банка', 'спарк', 'звонка', 'итоги', 'производство', 'кредит', 'данный', 'какими', 'обсл', 'выручка', 'сббол']
62;просрочка;['gruber', 'после', 'риск', 'спустя', 'высокий', 'компании', 'плохая', 'директор', 'брали', 'наемный', 'руководителя', 'вышли', 'mail', 'банк', 'сведения', 'нет_оборотов', 'смену', 'кредита', 'подали', 'клиент', 'овердрафт', 'долей', 'просрочку', 'выйти', 'не_платили', 'находится', 'не_проходит', 'выдачи']
63;реструктуризация;['проведена', 'кредитованию', 'группе', 'относится', 'реструктуризация', 'компании', 'не_однократно', 'не_соответствует', 'след', 'города', 'наличии', 'прошел', 'каскад', 'перезвонить', 'встречу', 'клиент', 'процедуру', 'данный', 'заинтересован', 'рассматривалась', 'заявка', 'просил', 'момент', 'банка', 'готов', 'неделе']
64;отказ от реструктуризации;['марте', 'работают', 'исполнение', 'сбербанке', 'готовы', 'нужна', 'эквайринг', 'планах', 'счету', 'неактуально', 'организациями', 'будут', 'контракта', 'движений', 'подписать']
